팀,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효 슈팅,차단된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,오프사이드,프리킥,코너킥,스로인,드리블성공률,패스성공률,키패스,전방패스성공률,후방패스성공률,횡패스성공률,공격지역패스성공률,수비지역패스성공률,중앙지역패스성공률,롱패스성공률,중거리패스성공률,숏패스성공률,크로스성공률,탈압박,경합지상성공률,경합공중성공률,대클성공률,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
부산,김정호,대기,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,김진규,대기,23,155,1,2,5,1,3,1,1,4,1,0,1,1,50,76.7,2,0,100,76.2,65.2,71.4,86.7,80,77.8,75.7,25,0,12.5,12.5,50,2,1,4,12,2,0,4,0,0,0
부산,김현,대기,13,156,1,0,4,2,1,1,4,0,0,0,0,0,0,66.7,0,0,85.7,70,63.6,100,66.7,0,57.1,70.6,0,0,0,125,0,1,1,4,3,0,2,3,0,0,0
부산,김호준,대기,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,도스톤벡,대기,5,39,0,0,0,0,0,0,0,0,0,1,0,1,0,92.3,0,0,100,100,100,100,87.5,50,100,100,0,0,50,200,0,1,0,4,1,0,0,0,1,0,0
부산,박경민,대기,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,박관우,대기,32,132,0,0,3,0,0,3,3,0,0,0,0,0,0,63.9,0,0,100,60,72.2,40,61.5,66.7,63.6,63.6,0,1,50,50,0,0,2,4,7,0,1,2,1,0,0
부산,박종우,대기,8,43,0,0,0,0,0,0,0,0,0,0,2,0,0,50,0,0,66.7,87.5,33.3,75,46.2,57.1,55.6,25,33.3,0,100,50,25,1,0,2,4,0,0,2,0,0,0
부산,박준강,대기,3,138,0,0,1,0,0,1,0,1,0,0,0,12,0,80.7,4,0,100,73.7,73.7,83.3,84.6,37.5,81.2,90.9,40,0,37.5,37.5,66.7,5,2,6,10,2,3,4,0,2,0
부산,박호영,대기,35,77,0,0,1,0,0,1,1,0,0,0,0,0,0,35.3,0,0,66.7,50,27.3,0,50,100,50,28.6,0,0,33.3,200,0,0,1,2,1,0,0,3,2,0,0
